Day,Session_Type,Location,Exercise_Name,Sets,Reps,Target_Focus
จันทร์,Push Day,ยิมใหญ่,Incline Barbell/Machine Press,4,6-8,เน้นสร้างฐานอกบน
จันทร์,Push Day,ยิมใหญ่,Barbell Bench Press,3,6-8,รักษาแรงยกอกราบ
จันทร์,Push Day,ยิมใหญ่,Machine / Cable Fly,3,10-12,โฟกัสบีบสร้างอกชิด
จันทร์,Push Day,ยิมใหญ่,Machine Overhead Press,3,8-10,โหลดหนักไหล่หน้า-ข้าง
จันทร์,Push Day,ยิมใหญ่,JM Press / Cable Pressdown,4,8-10,สร้างความหนาหลังแขน
อังคาร,Legs & Abs (A),ยิมใหญ่,Barbell Squat,4,6-8,โหลดหนักต้นขาด้านหน้า (Quads)
อังคาร,Legs & Abs (A),ยิมใหญ่,Leg Press,3,8-10,อัด Volume ขาเพิ่ม
อังคาร,Legs & Abs (A),ยิมใหญ่,Romanian Deadlift (RDL),4,8-10,โฟกัสแฮมสตริง & สะโพก
อังคาร,Legs & Abs (A),ยิมใหญ่,Standing Calf Raise,4,10-12,น่อง
อังคาร,Legs & Abs (A),ยิมใหญ่,Cable Crunch,4,12-15,แกนกลางลำตัว
พุธ,Pull Day,ยิมใหญ่,Bent-over Barbell Row / T-Bar Row,4,6-8,ท่าหลักสร้างหลังหนา
พุธ,Pull Day,ยิมใหญ่,Lat Pulldown,3,8-10,ดึงกางปีกสร้างความกว้าง
พุธ,Pull Day,ยิมใหญ่,Seated Cable Row (หรือ One-Arm),3,8-10,หนีบสะบักเน้นหลังกลาง
พุธ,Pull Day,ยิมใหญ่,Incline Dumbbell Curl,4,8-10,ยืดหน้าแขนสร้างมิติแขนใหญ่
พุธ,Pull Day,ยิมใหญ่,Cable / Dumbbell Hammer Curl,3,8-10,สร้างมิติแขนด้านข้าง (Brachialis)
พฤหัสบดี,Legs & Abs (B),ยิมใหญ่,Barbell Deadlift / Rack Pull,4,6-8,โหลดหลังล่าง & โซนหลังทั้งหมด
พฤหัสบดี,Legs & Abs (B),ยิมใหญ่,Dumbbell Goblet Squat / Walking Lunge,3,10-12,เน้นเก็บรายละเอียดขาและมิติ
พฤหัสบดี,Legs & Abs (B),ยิมใหญ่,Leg Extension & Leg Curl Super-set,3,10-12,ปั๊มเลือดเข้าขาแบบซูเปอร์เซต
พฤหัสบดี,Legs & Abs (B),ยิมใหญ่,Seated/Standing Calf Raise,4,12-15,น่อง
พฤหัสบดี,Legs & Abs (B),ยิมใหญ่,Hanging Leg Raise / Reverse Crunch,4,12-15,ท้องล่าง
ศุกร์,Active Rest,พัก / ฟิตเนสคอนโด,Cardio 45 นาที (เดินชัน Zone 2) + Stretching,-,-,ฟื้นฟูร่างกาย & เผาผลาญไขมัน
เสาร์,Upper เก็บตก,คอนโด,Incline Dumbbell Press,3,8-10,เน้นมุมอกบน
เสาร์,Upper เก็บตก,คอนโด,Low-to-High Cable / Band Fly,3,10-12,เน้นเกร็งค้าง 2 วินาที อกชิด
เสาร์,Upper เก็บตก,คอนโด,One-Arm Dumbbell Row,3,8-10,ดึงเข้าเอวเน้นหลังหนา
เสาร์,Upper เก็บตก,คอนโด,Dumbbell Concentration / Preacher Curl,3,10-12,โฟกัสยอดหน้าแขน (Bicep Peak)
เสาร์,Upper เก็บตก,คอนโด,Overhead Dumbbell Triceps Extension,3,10-12,เก็บตกหัวยาวหลังแขน
อาทิตย์,Full Rest,พักผ่อน,Rest Day,-,-,ชาร์จพลังงานและฟื้นฟูกล้ามเนื้อ
